timestamp,views
2022-04-30,1653
2022-05-01,1834
2022-05-02,1924
2022-05-03,2076
2022-05-04,1834
2022-05-05,2096
2022-05-06,1976
2022-05-07,1803
2022-05-08,1877
2022-05-09,2080
2022-05-10,2015
2022-05-11,1997
2022-05-12,1888
2022-05-13,2058
2022-05-14,1704
2022-05-15,1796
2022-05-16,1885
2022-05-17,2137
2022-05-18,2050
2022-05-19,2041
2022-05-20,1975
2022-05-21,1806
2022-05-22,1939
2022-05-23,2061
2022-05-24,1963
2022-05-25,1997
2022-05-26,1918
2022-05-27,1968
2022-05-28,1727
2022-05-29,1991
2022-05-30,2100
2022-05-31,1872
2022-06-01,1920
2022-06-02,2031
2022-06-03,1807
2022-06-04,1762
2022-06-05,1831
2022-06-06,2047
2022-06-07,2048
2022-06-08,1845
2022-06-09,1933
2022-06-10,1799
2022-06-11,1731
2022-06-12,1890
2022-06-13,2001
2022-06-14,1897
2022-06-15,1811
2022-06-16,1934
2022-06-17,1873
2022-06-18,1934
2022-06-19,2080
2022-06-20,2084
2022-06-21,1986
2022-06-22,2011
2022-06-23,1826
2022-06-24,1890
2022-06-25,1855
2022-06-26,1946
2022-06-27,2039
2022-06-28,2063
2022-06-29,2037
2022-06-30,1891
2022-07-01,1953
2022-07-02,1869
2022-07-03,1965
2022-07-04,2096
2022-07-05,2102
2022-07-06,2085
2022-07-07,1992
2022-07-08,1735
2022-07-09,1936
2022-07-10,2008
2022-07-11,2220
2022-07-12,2053
2022-07-13,2084
2022-07-14,2094
2022-07-15,2106
2022-07-16,2079
2022-07-17,2195
2022-07-18,2248
2022-07-19,2215
2022-07-20,3224
2022-07-21,2871
2022-07-22,2687
2022-07-23,2526
2022-07-24,2526
2022-07-25,2684
2022-07-26,2574
2022-07-27,2717
2022-07-28,2769
2022-07-29,2536
2022-07-30,2894
2022-07-31,3155
2022-08-01,3133
2022-08-02,3447
2022-08-03,2968
2022-08-04,2869
2022-08-05,2912
2022-08-06,2861
2022-08-07,3027
2022-08-08,3211
2022-08-09,3217
2022-08-10,3199
2022-08-11,3193
2022-08-12,3248
2022-08-13,3214
2022-08-14,3533
2022-08-15,3673
2022-08-16,3710
2022-08-17,4052
2022-08-18,3781
2022-08-19,3757
2022-08-20,3780
2022-08-21,4099
2022-08-22,4317
2022-08-23,4487
2022-08-24,4737
2022-08-25,4448
2022-08-26,4428
2022-08-27,4409
2022-08-28,4961
2022-08-29,4899
2022-08-30,4979
2022-08-31,4968
2022-09-01,5508
2022-09-02,5527
2022-09-03,5523
2022-09-04,6317
2022-09-05,7386
2022-09-06,6827
2022-09-07,6778
2022-09-08,7263
2022-09-09,7164
2022-09-10,7655
2022-09-11,8560
2022-09-12,8378
2022-09-13,8597
2022-09-14,8315
2022-09-15,8722
2022-09-16,8932
2022-09-17,9373
2022-09-18,10963
2022-09-19,11325
2022-09-20,11798
2022-09-21,12883
2022-09-22,12784
2022-09-23,12359
2022-09-24,12943
2022-09-25,15807
2022-09-26,15712
2022-09-27,16153
2022-09-28,16006
2022-09-29,16956
2022-09-30,20755
2022-10-01,28391
2022-10-02,29979
2022-10-03,28091
2022-10-04,27229
2022-10-05,28551
2022-10-06,28873
2022-10-07,28923
2022-10-08,29885
2022-10-09,32104
2022-10-10,35082
2022-10-11,34355
2022-10-12,36217
2022-10-13,41826
2022-10-14,49623
2022-10-15,46843
2022-10-16,48416
2022-10-17,51860
2022-10-18,48007
2022-10-19,47973
2022-10-20,51922
2022-10-21,56298
2022-10-22,57172
2022-10-23,62536
2022-10-24,69310
2022-10-25,74592
2022-10-26,82527
2022-10-27,98272
2022-10-28,137412
2022-10-29,203710
2022-10-30,373368
2022-10-31,558327
2022-11-01,265501
2022-11-02,104978
2022-11-03,53958
2022-11-04,35539
2022-11-05,27648
2022-11-06,22483
2022-11-07,18204
2022-11-08,14835
2022-11-09,12138
2022-11-10,10456
2022-11-11,9998
2022-11-12,9035
2022-11-13,8637
2022-11-14,7777
2022-11-15,6753
2022-11-16,6569
2022-11-17,6130
2022-11-18,5721
2022-11-19,5446
2022-11-20,5473
2022-11-21,5210
2022-11-22,5168
2022-11-23,5172
2022-11-24,5709
2022-11-25,5201
2022-11-26,4550
2022-11-27,4772
2022-11-28,4619
2022-11-29,4222
2022-11-30,4213
2022-12-01,3836
2022-12-02,2953
2022-12-03,2641
2022-12-04,3066
2022-12-05,3195
2022-12-06,3068
2022-12-07,2987
2022-12-08,2737
2022-12-09,2578
2022-12-10,2684
2022-12-11,2860
2022-12-12,3197
2022-12-13,2997
2022-12-14,2977
2022-12-15,2779
2022-12-16,2619
2022-12-17,2564
2022-12-18,2532
2022-12-19,2565
2022-12-20,2597
2022-12-21,2682
2022-12-22,2611
2022-12-23,2342
2022-12-24,2786
2022-12-25,3048
2022-12-26,2624
2022-12-27,2353
2022-12-28,2242
2022-12-29,2247
2022-12-30,2257
2022-12-31,2379
2023-01-01,2850
2023-01-02,2191
2023-01-03,2319
2023-01-04,2374
2023-01-05,2311
2023-01-06,2179
2023-01-07,2034
2023-01-08,2171
2023-01-09,2283
2023-01-10,2351
2023-01-11,2166
2023-01-12,2268
2023-01-13,2422
2023-01-14,2275
2023-01-15,2192
2023-01-16,2120
2023-01-17,2280
2023-01-18,2172
2023-01-19,2146
2023-01-20,2116
2023-01-21,2104
2023-01-22,2198
2023-01-23,2138
2023-01-24,2376
2023-01-25,2423
2023-01-26,2404
2023-01-27,2287
2023-01-28,2296
2023-01-29,2321
2023-01-30,2295
2023-01-31,2183
2023-02-01,2041
2023-02-02,2076
2023-02-03,2107
2023-02-04,2025
2023-02-05,2314
2023-02-06,2167
2023-02-07,2282
2023-02-08,2110
2023-02-09,2517
2023-02-10,2303
2023-02-11,2349
2023-02-12,2598
2023-02-13,3918
2023-02-14,11073
2023-02-15,3408
2023-02-16,2699
2023-02-17,2516
2023-02-18,2474
2023-02-19,2457
2023-02-20,2595
2023-02-21,2401
2023-02-22,2386
2023-02-23,2417
2023-02-24,2042
2023-02-25,2178
2023-02-26,2176
2023-02-27,2180
2023-02-28,2328
2023-03-01,2341
2023-03-02,2268
2023-03-03,2092
2023-03-04,2192
2023-03-05,2484
2023-03-06,2695
2023-03-07,2737
2023-03-08,3368
2023-03-09,2541
2023-03-10,2461
2023-03-11,2240
2023-03-12,2377
2023-03-13,2700
2023-03-14,2447
2023-03-15,2490
2023-03-16,2470
2023-03-17,4126
2023-03-18,2706
2023-03-19,2749
2023-03-20,2516
2023-03-21,2315
2023-03-22,2197
2023-03-23,2241
2023-03-24,2091
2023-03-25,2028
2023-03-26,2135
2023-03-27,2141
2023-03-28,2150
2023-03-29,2215
2023-03-30,2216
2023-03-31,2299
2023-04-01,2262
2023-04-02,2381
2023-04-03,2159
2023-04-04,2084
2023-04-05,1746
2023-04-06,1861
2023-04-07,1941
2023-04-08,1940
2023-04-09,2453
2023-04-10,2105
2023-04-11,1731
2023-04-12,1674
2023-04-13,1743
2023-04-14,1588
2023-04-15,1564
2023-04-16,1638
2023-04-17,1689
2023-04-18,1611
2023-04-19,1771
2023-04-20,1995
2023-04-21,1980
2023-04-22,1948
2023-04-23,1976
2023-04-24,1983
2023-04-25,1980
2023-04-26,2046
2023-04-27,2054
2023-04-28,1881
2023-04-29,1890
2023-04-30,2052
2023-05-01,2518
2023-05-02,2074
2023-05-03,2102
2023-05-04,2145
2023-05-05,2069
2023-05-06,1949
2023-05-07,1928
2023-05-08,2011
2023-05-09,2042
2023-05-10,1971
2023-05-11,2021
2023-05-12,1820
2023-05-13,2006
2023-05-14,2164
2023-05-15,2023
2023-05-16,2075
2023-05-17,2198
2023-05-18,2081
2023-05-19,2063
2023-05-20,2068
2023-05-21,1985
2023-05-22,1967
2023-05-23,1923
2023-05-24,2102
2023-05-25,1962
2023-05-26,1935
2023-05-27,1784
2023-05-28,1979
2023-05-29,2048
2023-05-30,2004
2023-05-31,1939
2023-06-01,1964
2023-06-02,1770
2023-06-03,1978
2023-06-04,2059
2023-06-05,2004
2023-06-06,2027
2023-06-07,1970
